subject	session	run	dest	action	confidence	source	event_count
sub-001	ses-01	01	/home/alexrees/scratch/bids/sub-001/ses-01/func/sub-001_ses-01_task-fmri_run-01_events.tsv	unchanged	HIGH	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-001_ses-01_task-fmri_run-01_events.tsv	25.0
sub-001	ses-01	03	/home/alexrees/scratch/bids/sub-001/ses-01/func/sub-001_ses-01_task-fmri_run-03_events.tsv	unchanged	HIGH	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-001_ses-01_task-fmri_run-03_events.tsv	25.0
sub-001	ses-01	05	/home/alexrees/scratch/bids/sub-001/ses-01/func/sub-001_ses-01_task-fmri_run-05_events.tsv	unchanged	HIGH	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-001_ses-01_task-fmri_run-05_events.tsv	25.0
sub-001	ses-01	07	/home/alexrees/scratch/bids/sub-001/ses-01/func/sub-001_ses-01_task-fmri_run-07_events.tsv	unchanged	HIGH	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-001_ses-01_task-fmri_run-07_events.tsv	25.0
sub-001	ses-02	01	/home/alexrees/scratch/bids/sub-001/ses-02/func/sub-001_ses-02_task-fmri_run-01_events.tsv	unchanged	HIGH	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-001_ses-02_task-fmri_run-01_events.tsv	25.0
sub-001	ses-02	03	/home/alexrees/scratch/bids/sub-001/ses-02/func/sub-001_ses-02_task-fmri_run-03_events.tsv	unchanged	HIGH	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-001_ses-02_task-fmri_run-03_events.tsv	25.0
sub-001	ses-02	05	/home/alexrees/scratch/bids/sub-001/ses-02/func/sub-001_ses-02_task-fmri_run-05_events.tsv	unchanged	HIGH	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-001_ses-02_task-fmri_run-05_events.tsv	25.0
sub-001	ses-02	07	/home/alexrees/scratch/bids/sub-001/ses-02/func/sub-001_ses-02_task-fmri_run-07_events.tsv	unchanged	HIGH	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-001_ses-02_task-fmri_run-07_events.tsv	25.0
sub-002	ses-01	03	/home/alexrees/scratch/bids/sub-002/ses-01/func/sub-002_ses-01_task-fmri_run-03_events.tsv	unchanged	HIGH	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-002_ses-01_task-fmri_run-03_events.tsv	25.0
sub-002	ses-01	05	/home/alexrees/scratch/bids/sub-002/ses-01/func/sub-002_ses-01_task-fmri_run-05_events.tsv	unchanged	HIGH	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-002_ses-01_task-fmri_run-05_events.tsv	25.0
sub-002	ses-02	01	/home/alexrees/scratch/bids/sub-002/ses-02/func/sub-002_ses-02_task-fmri_run-01_events.tsv	unchanged	HIGH	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-002_ses-02_task-fmri_run-01_events.tsv	25.0
sub-002	ses-02	03	/home/alexrees/scratch/bids/sub-002/ses-02/func/sub-002_ses-02_task-fmri_run-03_events.tsv	unchanged	HIGH	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-002_ses-02_task-fmri_run-03_events.tsv	25.0
sub-002	ses-02	05	/home/alexrees/scratch/bids/sub-002/ses-02/func/sub-002_ses-02_task-fmri_run-05_events.tsv	unchanged	HIGH	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-002_ses-02_task-fmri_run-05_events.tsv	25.0
sub-002	ses-02	07	/home/alexrees/scratch/bids/sub-002/ses-02/func/sub-002_ses-02_task-fmri_run-07_events.tsv	unchanged	HIGH	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-002_ses-02_task-fmri_run-07_events.tsv	25.0
sub-003	ses-01	01	/home/alexrees/scratch/bids/sub-003/ses-01/func/sub-003_ses-01_task-fmri_run-01_events.tsv	unchanged	HIGH	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-003_ses-01_task-fmri_run-01_events.tsv	25.0
sub-003	ses-01	03	/home/alexrees/scratch/bids/sub-003/ses-01/func/sub-003_ses-01_task-fmri_run-03_events.tsv	unchanged	HIGH	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-003_ses-01_task-fmri_run-03_events.tsv	25.0
